"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","post_author","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","downloadable_files","tax:hg_product_brand","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:rs_page_bg_color","meta:slide_template","meta:total_sales","attribute:pa_cabeza-de-mazo","attribute_data:pa_cabeza-de-mazo","attribute_default:pa_cabeza-de-mazo","attribute:pa_color","attribute_data:pa_color","attribute_default:pa_color","attribute:pa_dimensiones-de-la-cabeza","attribute_data:pa_dimensiones-de-la-cabeza","attribute_default:pa_dimensiones-de-la-cabeza","attribute:pa_dimensiones-del-mango","attribute_data:pa_dimensiones-del-mango","attribute_default:pa_dimensiones-del-mango","attribute:pa_mango","attribute_data:pa_mango","attribute_default:pa_mango","attribute:pa_talla","attribute_data:pa_talla","attribute_default:pa_talla"
"Polo de caballero Deacon Glenmuir","polo-de-caballero-deacon-glenmuir","407","","100% Performance Polyester Pique Short Sleeve","publish","28","2020-12-02 10:24:31","0","1","closed","GLMMSP7373-DEAC","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-caballero-deacon-white-glenmuir-1.jpg | https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-caballero-deacon-white-glenmuir-back.jpg","","Glenmuir","variable","","Ropa > Polos","caballero","","","","0","","","","White","0|1|1","white","","","","","","","","","","3XL|L|M|S|XL|XS|XXL|XXS","1|1|1","xxs"
"Polo de señora Paloma Glenmuir","polo-de-senora-paloma-glenmuir","416","","100% Performance Polyester Pique Short Sleeve","publish","30","2020-12-02 10:24:31","0","1","closed","GLMLSP2540-PALO","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-senora-paloma-white-glenmuir-1.jpg | https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-senora-paloma-white-glenmuir-back.jpg","","Glenmuir","variable","","Ropa > Polos","senora","","","","1","","","","White","0|1|1","white","","","","","","","","","","L|M|S|XL|XS|XXL|XXS","1|1|1","xxs"
"Polo de caballero Max Glenmuir","polo-de-caballero-max-glenmuir","424","","100% Performance Polyester Pique Long Sleeve","publish","31","2020-12-02 10:24:31","0","1","closed","GLMMSP7537-MAX","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-caballero-max-white-glenmuir-1.jpg | https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-caballero-max-white-glenmuir-back.jpg","","Glenmuir","variable","","Ropa > Polos","caballero","","","","0","","","","White","0|1|1","white","","","","","","","","","","L|M|S|XL|XXL","1|1|1","s"
"Polo de señora Misha Glenmuir","polo-de-senora-misha-glenmuir","430","","100% Performance Polyester Pique Long Sleeve","publish","29","2020-12-02 10:24:42","0","1","closed","GLMLSP2644-MIS","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-senora-misha-white-glenmuir-1.jpg | https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-senora-misha-white-glenmuir-back.jpg","","Glenmuir","variable","","Ropa > Polos","senora","","","","0","","","","White","0|1|1","white","","","","","","","","","","L|M|S|XL|XXL","1|1|1","s"
"Polo de Caballero Kinloch Glenmuir","polo-de-caballero-kinloch-glenmuir","436","","95% Combed Cotton 5% Elastane Pique Short Sleeve","pending","38","2020-12-02 10:24:42","0","1","closed","GLMMSC7211-KIN","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-caballero-kinloch-white-glenmuir.jpg","","Glenmuir","variable","","Ropa > Polos","caballero","","","","0","","","","White","0|1|1","white","","","","","","","","","","3XL|L|M|S|XL|XXL","1|1|1","s"
"Polo de Señora Sophie Glenmuir","polo-de-senora-sophie-glenmuir","443","","95% Combed Cotton 5% Elastane Pique Short Sleeve","pending","43","2020-12-02 10:24:42","0","1","closed","GLMLSC2241-SOPH","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-senora-sophie-white-glenmuir.jpg","","Glenmuir","variable","","Ropa > Polos","senora","","","","0","","","","White","0|1|1","white","","","","","","","","","","L|M|S|XL|XXL","1|1|1","s"
"Polo de Caballero Rimrock Cutter & Buck","polo-de-caballero-rimrock-cutter-buck","449","","90% Combed Cotton 10% Elastane","pending","39","2020-12-02 10:24:42","0","1","closed","CBE354410","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-caballero-rimrock-white-cutter-buck.jpg","","Cutter &amp; Buck","variable","","Ropa > Polos","caballero","","","","0","","","","White","0|1|1","white","","","","","","","","","","3XL|4XL|L|M|S|XL|XXL","1|1|1","s"
"Polo de Señora Rimrock Cutter & Buck","polo-de-senora-rimrock-cutter-buck","457","","90% Combed Cotton 10% Elastane","pending","42","2020-12-02 10:24:45","0","1","closed","CBE354411","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-senora-rimrock-white-cutter-buck.jpg","","Cutter &amp; Buck","variable","","Ropa > Polos","senora","","","","0","","","","White","0|1|1","white","","","","","","","","","","L|M|S|XL|XS|XXL","1|1|1","xs"
"Polo de Caballero Kelowna Cutter & Buck","polo-de-caballero-kelowna-cutter-buck","464","","100% Polyester con Protección UV","pending","37","2020-12-02 10:24:45","0","1","closed","CBE354400","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-caballero-kelowna-white-cutter-buck.jpg","","Cutter &amp; Buck","variable","","Ropa > Polos","caballero","","","","0","","","","White","0|1|1","white","","","","","","","","","","3XL|4XL|L|M|S|XL|XXL","1|1|1","s"
"Polo de Señora Kelowna Cutter & Buck","polo-de-senora-kelowna-cutter-buck","472","","100% Polyester con Protección UV","pending","41","2020-12-02 10:24:45","0","1","closed","CBE354401","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-senora-kelowna-white-cutter-buck.jpg","","Cutter &amp; Buck","variable","","Ropa > Polos","senora","","","","0","","","","White","0|1|1","white","","","","","","","","","","L|M|S|XL|XS|XXL","1|1|1","xs"
"Polo de Caballero Advantage Cutter & Buck","polo-de-caballero-advantage-cutter-buck","479","","52% Cotton, 45% polyester, 3% elastane.Dry Tec  35 UPF","pending","35","2020-12-02 10:25:04","0","1","closed","CBE354418","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-caballero-advantage-white-cutter-buck.jpg","","Cutter &amp; Buck","variable","","Ropa > Polos","caballero","","","","0","","","","White","0|1|1","white","","","","","","","","","","3XL|4XL|L|M|S|XL|XXL","1|1|1","s"
"Polo de Señora Advantage Cutter & Buck","polo-de-senora-advantage-cutter-buck","487","","52% Cotton, 45% polyester, 3% elastane.Dry Tec  35 UPF","pending","40","2020-12-02 10:25:04","0","1","closed","CBE354419","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/polo-senora-advantage-white-cutter-buck.jpg","","Cutter &amp; Buck","variable","","Ropa > Polos","senora","","","","0","","","","White","0|1|1","white","","","","","","","","","","L|M|S|XL|XS|XXL","1|1|1","xs"
